,time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,relative_humidity,wind_from_direction,wind_speed,next_12_hours_symbol_code,next_1_hours_symbol_code,next_1_hours_precipitation_amount,next_6_hours_symbol_code,next_6_hours_precipitation_amount,city
0,2024-08-25 17:00:00+00:00,1005.6,13.9,97.7,79.3,192.0,6.1,rain,cloudy,0.0,rain,3.3,Bergen
1,2024-08-25 18:00:00+00:00,1005.7,13.9,98.5,80.4,184.0,6.3,heavyrain,cloudy,0.0,heavyrain,5.7,Bergen
2,2024-08-25 19:00:00+00:00,1005.7,13.8,99.2,81.8,179.6,6.7,heavyrain,cloudy,0.0,heavyrain,9.8,Bergen
3,2024-08-25 20:00:00+00:00,1005.7,13.8,100.0,83.3,177.2,7.1,heavyrain,cloudy,0.0,heavyrain,13.6,Bergen
4,2024-08-25 21:00:00+00:00,1005.3,13.7,100.0,87.3,171.8,7.4,heavyrain,rain,0.7,heavyrain,15.9,Bergen
5,2024-08-25 22:00:00+00:00,1004.2,12.9,100.0,90.8,154.8,7.4,heavyrain,heavyrain,2.0,heavyrain,14.8,Bergen
6,2024-08-25 23:00:00+00:00,1002.7,12.7,100.0,92.0,150.8,8.3,rain,heavyrain,2.4,heavyrain,16.1,Bergen
7,2024-08-26 00:00:00+00:00,1001.9,12.5,100.0,93.5,149.2,8.5,rain,heavyrain,4.4,heavyrain,15.7,Bergen
8,2024-08-26 01:00:00+00:00,1000.6,13.0,100.0,93.5,159.0,8.5,lightrain,heavyrain,3.9,heavyrain,10.9,Bergen
9,2024-08-26 02:00:00+00:00,1000.8,14.1,100.0,96.7,188.6,7.7,lightrain,heavyrain,2.4,heavyrain,7.5,Bergen
10,2024-08-26 03:00:00+00:00,1001.5,13.9,100.0,94.7,203.4,7.2,lightrain,rain,0.5,heavyrain,6.1,Bergen
11,2024-08-26 04:00:00+00:00,1001.9,13.8,100.0,95.3,208.3,5.2,lightrain,heavyrain,2.6,heavyrain,5.5,Bergen
12,2024-08-26 05:00:00+00:00,1002.6,13.7,100.0,97.4,235.5,5.1,lightrain,heavyrain,1.0,rain,1.5,Bergen
13,2024-08-26 06:00:00+00:00,1003.9,13.6,99.8,94.6,237.6,3.9,lightrain,cloudy,0.0,lightrain,0.5,Bergen
14,2024-08-26 07:00:00+00:00,1005.0,13.6,99.6,92.9,238.0,2.8,lightrain,cloudy,0.0,cloudy,0.0,Bergen
15,2024-08-26 08:00:00+00:00,1006.0,13.4,96.6,93.4,234.7,4.3,lightrain,cloudy,0.0,cloudy,0.0,Bergen
16,2024-08-26 09:00:00+00:00,1007.4,13.4,95.5,89.0,236.5,3.9,lightrain,cloudy,0.0,cloudy,0.0,Bergen
17,2024-08-26 10:00:00+00:00,1008.3,14.0,93.4,78.4,220.9,4.4,lightrain,cloudy,0.0,cloudy,0.0,Bergen
18,2024-08-26 11:00:00+00:00,1009.1,14.1,99.2,75.2,215.8,4.9,cloudy,cloudy,0.0,cloudy,0.0,Bergen
19,2024-08-26 12:00:00+00:00,1010.1,14.1,99.4,82.2,209.3,4.5,cloudy,cloudy,0.0,cloudy,0.0,Bergen
20,2024-08-26 13:00:00+00:00,1010.8,14.3,100.0,83.4,199.2,4.1,lightrain,cloudy,0.0,lightrain,0.6,Bergen
21,2024-08-26 14:00:00+00:00,1011.4,14.2,100.0,83.8,201.8,4.0,lightrain,cloudy,0.0,lightrain,0.6,Bergen
22,2024-08-26 15:00:00+00:00,1011.7,14.0,100.0,83.4,196.9,3.5,lightrain,cloudy,0.0,lightrain,0.6,Bergen
23,2024-08-26 16:00:00+00:00,1012.0,13.8,99.6,83.7,187.0,3.7,lightrain,cloudy,0.0,lightrain,0.6,Bergen
24,2024-08-26 17:00:00+00:00,1012.7,13.6,100.0,88.7,207.3,3.1,cloudy,cloudy,0.0,cloudy,0.0,Bergen
25,2024-08-26 18:00:00+00:00,1013.2,13.3,100.0,93.2,195.6,2.8,cloudy,cloudy,0.0,cloudy,0.0,Bergen
26,2024-08-26 19:00:00+00:00,1013.9,13.1,100.0,95.6,166.7,2.0,cloudy,cloudy,0.0,cloudy,0.0,Bergen
27,2024-08-26 20:00:00+00:00,1014.3,12.8,98.8,96.1,152.5,2.2,cloudy,cloudy,0.0,cloudy,0.0,Bergen
28,2024-08-26 21:00:00+00:00,1014.6,12.6,99.4,95.5,157.5,2.6,lightrain,cloudy,0.0,cloudy,0.0,Bergen
29,2024-08-26 22:00:00+00:00,1014.8,12.6,99.8,95.8,157.4,2.5,lightrain,cloudy,0.0,cloudy,0.0,Bergen
30,2024-08-26 23:00:00+00:00,1015.2,12.5,98.6,96.3,177.5,1.8,lightrain,cloudy,0.0,cloudy,0.0,Bergen
31,2024-08-27 00:00:00+00:00,1015.4,12.5,97.2,94.9,158.6,2.5,rain,cloudy,0.0,cloudy,0.0,Bergen
32,2024-08-27 01:00:00+00:00,1015.8,12.4,98.1,96.0,161.0,2.1,rain,cloudy,0.0,cloudy,0.0,Bergen
33,2024-08-27 02:00:00+00:00,1015.8,12.3,96.8,94.1,153.0,3.5,rain,cloudy,0.0,cloudy,0.0,Bergen
34,2024-08-27 03:00:00+00:00,1015.6,12.3,99.9,92.1,145.3,4.6,rain,cloudy,0.0,rain,1.1,Bergen
35,2024-08-27 04:00:00+00:00,1015.3,12.4,100.0,90.3,143.5,5.2,rain,cloudy,0.0,rain,2.0,Bergen
36,2024-08-27 05:00:00+00:00,1014.8,12.4,100.0,88.7,142.0,5.0,rain,cloudy,0.0,rain,3.3,Bergen
37,2024-08-27 06:00:00+00:00,1014.9,12.8,100.0,87.4,149.8,5.9,rain,cloudy,0.0,heavyrain,5.0,Bergen
38,2024-08-27 07:00:00+00:00,1014.7,13.2,100.0,86.7,152.0,6.2,rain,cloudy,0.0,heavyrain,5.9,Bergen
39,2024-08-27 08:00:00+00:00,1014.0,13.5,100.0,86.2,141.0,6.5,rain,rain,0.8,heavyrain,7.0,Bergen
40,2024-08-27 09:00:00+00:00,1013.5,13.6,100.0,89.2,137.9,7.2,rain,rain,0.9,heavyrain,6.6,Bergen
41,2024-08-27 10:00:00+00:00,1013.3,13.9,100.0,92.0,146.7,7.5,rain,heavyrain,1.4,heavyrain,6.5,Bergen
42,2024-08-27 11:00:00+00:00,1012.5,14.2,100.0,92.7,143.8,8.3,rain,heavyrain,1.5,heavyrain,5.1,Bergen
43,2024-08-27 12:00:00+00:00,1011.6,14.6,100.0,93.0,148.7,9.2,rain,heavyrain,1.2,rain,3.7,Bergen
44,2024-08-27 13:00:00+00:00,1011.3,15.0,100.0,93.6,158.7,9.3,,heavyrain,1.0,rain,2.7,Bergen
45,2024-08-27 14:00:00+00:00,1010.9,15.5,100.0,93.3,155.8,10.2,,rain,0.4,rain,2.6,Bergen
46,2024-08-27 15:00:00+00:00,1011.0,15.7,100.0,92.9,159.4,9.7,,rain,0.8,rain,3.4,Bergen
47,2024-08-27 16:00:00+00:00,1011.3,15.8,100.0,93.4,160.9,9.0,,lightrain,0.2,rain,3.4,Bergen
48,2024-08-27 17:00:00+00:00,1011.5,15.8,100.0,90.6,161.3,9.1,,heavyrain,1.9,rain,3.6,Bergen
49,2024-08-27 18:00:00+00:00,1011.8,15.8,99.9,89.0,163.6,8.1,heavyrain,heavyrain,2.2,rain,4.0,Bergen
50,2024-08-27 19:00:00+00:00,1012.4,15.9,100.0,90.4,167.9,8.2,,rain,0.6,,,Bergen
51,2024-08-27 20:00:00+00:00,1012.8,15.8,100.0,93.1,165.8,8.3,,heavyrain,1.2,,,Bergen
52,2024-08-27 21:00:00+00:00,1013.4,15.7,100.0,95.7,167.1,6.2,,rain,0.9,,,Bergen
53,2024-08-27 22:00:00+00:00,1013.7,15.7,100.0,95.9,161.9,6.9,,rain,0.4,,,Bergen
54,2024-08-27 23:00:00+00:00,1014.0,15.5,100.0,95.4,160.3,7.6,,rain,0.3,,,Bergen
55,2024-08-28 00:00:00+00:00,1014.3,15.5,100.0,96.1,160.1,7.5,rain,,,heavyrain,5.1,Bergen
56,2024-08-28 06:00:00+00:00,1015.7,16.1,100.0,98.2,163.0,5.5,lightrain,,,rain,2.5,Bergen
57,2024-08-28 12:00:00+00:00,1016.6,18.7,100.0,87.9,161.8,5.4,cloudy,,,cloudy,0.0,Bergen
